Model,MAE (gram),MSE (gram²),RMSE (gram),R² Score,MAPE (%),Min_Error (gram),Max_Error (gram),Median_Error (gram),Std_Error (gram),Samples
Random_Forest,0.414,0.384,0.62,0.7857,21.86,0.0,3.49,0.28,0.46,186
Xgboost,0.203,0.343,0.585,0.8087,11.41,0.0,3.68,0.0,0.55,186
Gbdt,0.19,0.26,0.509,0.8552,10.89,0.0,3.69,0.0,0.47,186
Catboost,0.2,0.237,0.487,0.8675,10.63,0.0,3.32,0.03,0.44,186
CNN,0.731,0.792,0.89,0.5578,38.69,0.01,2.53,0.67,0.51,186
LSTM,1.131,1.792,1.339,-0.0002,55.83,0.44,3.44,0.56,0.72,186
Transformer,0.634,0.691,0.832,0.6141,30.66,0.0,2.45,0.45,0.54,186
